name,type_of_place,center_type,designation_year,information
North Creek High School,Planning Academy School,Northshore School District,,"North Creek High School opened in the fall of 2017 and serves almost 1900 students in grades 9 through 12 from the north end of the Northshore School District. North Creek has a 60+ acre campus featuring numerous wetlands and a state-of-the-art facility for student learning unlike most high schools in the United States.  The buildings are not only heated and cooled by geo-thermal energy, but other energy costs are offset by solar power.   Moreover, each building was designed so that almost every space could be a space used for teaching and learning.  Classrooms have moveable glass walls and the hallways not only have furniture that invites small group work but also feature designated rooms called Collaboration Cubes where students can work together, research, practice, and learn in a comfortable space outside the classroom. "
Woodinville High School,Planning Academy School,Northshore School District,,Woodinville High School
Eastside Academics School (Redmond),Planning Academy School,Private,,"Spark the dream, ignite the drive, prepare for the journey. Our academic philosophy is that if we help students rediscover a passion for learning and discovery, they will succeed. We place a strong emphasis on individual dreams and goals and use this to help build personalized education plans designed to meets students where they are and help them build the skills they need to thrive in high school, college and beyond."
St. Frances Cabrini (Lakewood),Planning Academy School,Private,,"St. Frances Cabrini Catholic School is committed to Faith development and adheres to high academic expectations.   We proudly serve the communities of Lakewood, Steilacoom, DuPont, Joint Base Lewis McChord, Parkland, Spanaway, and all outlying areas. Military Families are especially welcome!   "
St. Frances Cabrini (Steilacoom),Planning Academy School,Private,,"St. Frances Cabrini Catholic School is committed to Faith development and adheres to high academic expectations.   We proudly serve the communities of Lakewood, Steilacoom, DuPont, Joint Base Lewis McChord, Parkland, Spanaway, and all outlying areas. Military Families are especially welcome!   "
Puyallup High School,Planning Academy School,Puyallup School District,,"It is our mission to ensure each student we serve graduates with the knowledge, skills, and resilience necessary to be successful in college or career.  We honor the history and rich traditions of our school community while recognizing we are preparing our students for a rapidly changing future.  We look forward to partnering with you to help our students understand their purpose and achieve their goals. "
Tahoma High School,Planning Academy School,Tahoma School District,,"Together, provide the tools and experiences every student needs to create an individual, viable and valued path to lifelong personal success."
Bellevue Downtown,Regional Growth Center,Metro,1995,"Downtown Bellevue is the city’s primary employment center and fastest-growing residential neighborhood. Office and housing along with significant commercial, cultural, entertainment, and recreation uses are connected by a variety of unique public places, great public infrastructure, and mobility options. These include light rail, bus rapid transit, and the regional bicycle network. Bellevue’s Grand Connection is a signature pedestrian amenity that is fueling additional downtown development opportunities and place-making features."
Bremerton,Regional Growth Center,Metro,1995,The Bremerton regional growth center is the central business district in the historic core of the City of Bremerton. It has served as the site of the most concentrated area of jobs in Kitsap County for decades and includes the Puget Sound Naval Shipyard. The downtown features recent and planned residential development and waterfront amenities. 
Everett,Regional Growth Center,Metro,1995,"The Everett regional growth center has several individual activity centers, with a variety of government, office, retail, professional services, and residential uses. Primary attractions in the center include the Angel of the Winds Arena, federal, county, and city offices, a hospital, library, performing arts theater, art galleries, specialty retail stores, bars and restaurants."
Redmond Overlake,Regional Growth Center,Metro,2007,"Located in the Overlake neighborhood of Redmond, Overlake has long been a major jobs center and was re-designated from a manufacturing/industrial center to a regional growth center in 2007. The Overlake area is an important hub of activity on the Eastside. Private and public investments are creating a dynamic place with opportunities for jobs, recreation and housing. The Overlake center is comprised of three generally distinct subareas: the employment area, which is dominated by the Microsoft corporate central campus; Overlake Village, which is to become the focal point for the entire center; and a small multifamily housing area on the northeast edge of the center. Extension of light rail to the center provides future development opportunities around the two new light rail stations. "
Seattle Downtown,Regional Growth Center,Metro,1995,"Seattle Downtown regional growth center is the leading commercial, cultural, and advanced technology center in the Pacific Northwest, and features the city’s central business and retail districts. The C\center includes historic areas such as Pioneer Square, the International District, and the Pike Place Market. Downtown serves as a hub for Seattle’s transportation and cultural amenities, ranging from its historic waterfront to theaters, museums, galleries, stores, hotels, and port facilities. The center is served by light rail, commuter rail, ferries, bus, and I-5."
Seattle First Hill/Capitol Hill,Regional Growth Center,Metro,1995,"Seattle's First Hill/Capitol Hill regional growth center consists of four distinct, yet interconnected neighborhoods that frame the eastern edge of Seattle’s downtown core. The Capitol Hill, 12th Avenue, First Hill, and Pike/Pine Urban Villages that make up the center combine to form the most densely populated neighborhood in the city. The center includes medical facilities, Seattle Central College, restaurants, retail, and active nightlife. The area is served by light rail, bus, and streetcar service."
Seattle Northgate,Regional Growth Center,Metro,1995,"The Seattle Northgate regional growth center developed around the first auto-oriented suburban style mall in the post-war United States.  Consequently, the community was built in a pattern of large blocks separated by busy arterial streets. With the opening of the Northgate Light Rail station in 2021 and a new ice complex, the center is being redeveloped with a mix of retail and residential uses. The center is bisected by I-5, which serves as the western edge of the center’s commercial core and includes North Seattle College."
Seattle South Lake Union,Regional Growth Center,Metro,2007,"Seattle’s South Lake Union regional growth center is located between downtown and Lake Union, bounded by I-5 to the east and SR-99 to the west. The area had been primarily characterized by low scale warehouse uses, but Amazon's corporate headquarters, and new housing, office, and commercial development have quickly transformed the center. The city has provided new facilities to support this growth, including the South Lake Union Streetcar, Lake Union Park at the south end of the lake, and improvements to the Mercer Corridor."
Seattle University Community,Regional Growth Center,Metro,1995,"Seattle's University Community is heavily oriented around the campus, students, and businesses of the University of Washington, including substantial multifamily housing and a commercial corridor along University Way that serves the neighborhood. A new light rail station opened in the neighborhood in 2021, bringing increased development to the area."
Seattle Uptown,Regional Growth Center,Metro,1995,"Uptown is known for its steep hills, tight urban form, and sweeping views of the Seattle skyline, Elliott Bay, and Lake Union. This center sits on the southern slopes of Queen Anne Hill, adjacent to Belltown and the Denny Triangle neighborhoods. Seattle Center, home to some of the city’s premier arts, sports, and entertainment organizations and facilities, has been an important and defining feature of the community for over 50 years."
Tacoma Downtown,Regional Growth Center,Metro,1995,"The Downtown Tacoma regional growth center includes a wide variety of commercial, industrial, residential, institutional and civic uses. Downtown Tacoma includes several city, county, and state government offices, as well as hospitals, schools, retail, restaurants, and cultural opportunities. Downtown Tacoma includes a large number of small blocks, creating a fine-grained street network that is easily accessible to pedestrians as well as by public transit and car. The center is served by Tacoma Link, Amtrak, Sounder, and bus and borders I-5 to the south. "
Auburn,Regional Growth Center,Urban,2003,"Downtown Auburn includes the core historic downtown with many older buildings, commercial and residential areas along Auburn Way and Main Street, and adjacent residential areas. Developments in the Center include the Auburn Station, City Hall and Annex, Auburn Regional Medical Center, and mixed-use buildings. The Auburn Regional Growth Center aligns with Downtown Auburn boundaries and is located near both SR-167 and SR-18 and is served by Sound Transit Commuter Rail, King County Metro and Pierce Transit."
Bothell Canyon Park,Regional Growth Center,Urban,1995,"The Canyon Park regional growth center is located in the Snohomish County area of Bothell, straddling I-405. With a well-developed office park, the area is planned for new commercial and residential development.  The center will be served by both Swift and Stride BRT service. "
Burien,Regional Growth Center,Urban,2005,"Downtown Burien offers a mix of uses, including multifamily residential, office, retail, restaurants and government and human services. The Burien regional growth center is generally centered around the mixed-use Burien Town Square development. The existing street grid is in the form of a traditional downtown with small blocks, alleys and a well-established sidewalk system. "
Federal Way,Regional Growth Center,Urban,1995,"Federal Way is among the smallest regional growth centers. The Commons at Federal Way and other commercial uses are the most prominent development in the area, but the city is planning for additional residential development in the center. The center includes the Federal Way Transit Center, and Steel Lake Park to the northeast and Celebration Park to the southwest are close to the center."
Issaquah,Regional Growth Center,Urban,2015,"The Issaquah regional growth center is located in the northeast part of the city, bisected by I-90 and SR-900. It is the economic hub of the city with many employers, including the Costco headquarters. The center includes the Issaquah Transit Center that has current bus service provided by King County Metro and Sound Transit. "
Kent,Regional Growth Center,Urban,1995,"The Kent regional growth center encompasses historic downtown Kent and is mostly made up of commercial and retail uses.  Community shopping, housing, recreational, medical and civic functions are located in the center, along with some light industry. Other attractions include extensive public art, the Asian Sister City pavilion, and several churches. Kent Station, the King County Regional Justice Center, and ShoWare Center have brought new life to the center, and have acted as a catalyst for redevelopment. "
Kirkland Greater Downtown,Regional Growth Center,Urban,2023,"The Greater Downtown Kirkland RGC is comprised of the Moss Bay neighborhood, encompassing the historic center of Kirkland, and the NE 85th Street Station Area, the area surrounding a future Sound Transit Stride bus rapid transit station. Planning for the center seeks to leverage regional transit investments to connect to the historic downtown area and continue to develop as a well-connected, mixed-use area. "
Kirkland Totem Lake,Regional Growth Center,Urban,2003,"The Totem Lake center in Kirkland is characterized by office, retail, and institutional uses, as well as moderate and high-density residential. Totem Lake is home to Evergreen Health Center, a regional transit center, the Totem Lake Connector, a pedestrian and bicycle bridge connection to the Cross Kirkland Connector, and the Village at Totem Lake, the major redevelopment of the former Totem Lake Mall. The center offers additional redevelopment opportunities and access to the regional transportation system via Stride bus rapid transit being planned along I-405. The center’s natural features include Totem Lake and its wetland trail."
Lakewood,Regional Growth Center,Urban,1995,"The city’s vision for Lakewood’s regional growth center is a dense mix of business, commercial, and cultural activity targeted for employment and residential growth, served by high-capacity transit and major public amenities. The center comprises the entire central business district CBD and the majority of the district surrounding Sound Transit’s Lakewood commuter rail station. "
Lynnwood,Regional Growth Center,Urban,1995,The Lynnwood regional growth center is located at the convergence of I-5 and I-405. The center has a diverse employment base with medium density housing and higher density housing being developed in more recent years and is home to the Alderwood Mall and main commercial areas in Lynnwood. The center has excellent access to the freeways and currently offers an array of transit opportunities including Community Transit and Sound Transit bus service. Transit access is planned to be enhanced with the opening of the Lynnwood Link Light Rail.
Puyallup Downtown,Regional Growth Center,Urban,1995,"The Downtown Puyallup regional growth center includes much of the historic downtown area. Downtown Puyallup has a “main street” feel, characterized by narrow streets, historic buildings, small blocks, a mix of older homes, and transitioning commercial land uses. The city hall, public library, senior activity center, Puyallup Sounder station, historic Meeker Mansion, retail, restaurants, and a city park are located in the Downtown regional growth center. "
Puyallup South Hill,Regional Growth Center,Urban,1995,"The South Hill regional growth center is the heart of Puyallup’s South Hill neighborhood. The center is located just to the east of SR-512, a limited-access freeway that connects the center with downtown Puyallup to the north and Tacoma and I-5 to the west. Major development in the South Hill regional growth center includes the South Hill Mall, auto-oriented retail businesses, Pierce College,  the South Hill Business & Technology Center, and a mix of single and multifamily residential development."
Redmond Downtown,Regional Growth Center,Urban,1995,"Redmond’s downtown regional growth center is a major activity and employment center, containing residential development, shopping, businesses, and cultural and entertainment uses. The center includes the original downtown area, the Redmond Town Center complex to the south, and the developing retail-civic-housing district to the north.  In the last few years, substantial numbers of multifamily and mixed-use housing units have been built in and adjacent to the center.  Extension of light rail to the center provides future development opportunities. "
Renton,Regional Growth Center,Urban,1995,"Renton’s adopted regional growth center boundary includes two primary sections. The northern portion borders Lake Washington and emphasizes mixed use and regional employment, including Boeing’s  Renton Plant, Southport, and The Landing. The Landing is a significant retail and residential development in the northern half of the center. The southern portion of the center includes the downtown core and adjacent residential areas. The downtown core includes the Renton Market and Food Hall, Piazza Park, Transit Center, and the IKEA Performing Arts Center."
SeaTac,Regional Growth Center,Urban,1995,"The SeaTac regional growth center is a linear corridor stretching about three miles along International Boulevard (SR-99), adjacent to Sea-Tac International Airport. The presence of the airport along much of this corridor creates many economic opportunities, but also dominates the physical environment. The center is characterized by intense mixed commercial and office development along the International Boulevard corridor. The majority of the city’s moderate to high-density uses are located within the RGC in clusters within the northern, central and southern portions of the center. Much of the center’s commercial activity is airport-related, including numerous hotels, restaurants, retail businesses, and airport parking. The center is well connected to the regional transportation system via SR-99, SR-518, Link Light Rail, local and RapidRide bus routes and the international airport. Due to recent and on-going construction activity, the districts near the three Link Light Rail stations that serve the center are emerging as community focal points and transit-oriented development nodes."
Silverdale,Regional Growth Center,Urban,2003,"Silverdale, which includes Kitsap Mall, is the retail center of Kitsap County and is the only regional growth center in an unincorporated area. The Silverdale center is located between the Dyes Inlet shoreline and State Route SR 3 and 303. The center includes Kitsap Mall, completed in 1985, and surrounding commercial development. Silverdale contains a mix of commercial, office, residential and service uses, in addition to Clear Creek Trail and several parks, and St. Michael Medical Center. A new transit center is under construction in the eastern portion of the center. "
Tacoma Mall,Regional Growth Center,Urban,1995,"Approximately two miles southwest of the Downtown Tacoma regional growth center, the Tacoma Mall area is an important retail district within the city. The city plans for the center to accommodate the development of new office, supporting retail and multifamily residential uses. After the Downtown center, the Tacoma Mall area is seen as the next highest area of concentrated development in the city, with a possible range of building heights between one and 10 stories, and activity levels greater than in most areas of the city."
Tukwila,Regional Growth Center,Urban,1995,"The Tukwila regional growth center is a major shopping and employment center, containing a mix of high intensity retail, commercial, industrial, and office uses. The city’s commercial center is located in the Southcenter area, at the intersection of I-5 and I-405.  The center is served by Sounder and Amtrak service and has seen recent high-density residential development. "
University Place,Regional Growth Center,Urban,2014,"The University Place regional growth center includes a mix of commercial, civic, single and multifamily residential, and light industrial uses. It is divided into three districts—the Northeast Business District, the 27th Street Business District, and the Town Center District.  The Northeast Business District provides higher intensity commercial, mixed use, multifamily, and light industrial uses, the 27th Street Business District maintains a hometown feel with smaller scale mixed use retail, commercial, and middle housing, and the Town Center District serves as the heart of the community as the city’s civic center and regional commercial hub."
